REGGIO CALABRIA CENTRALE, VILLA SAN GIOVANNI, 15
VILLA SAN GIOVANNI, GIOIA TAURO, 35
GIOIA TAURO, ROSARNO, 8
ROSARNO, VIBO VALENZIA PIZZO, 17
VIBO VALENZIA PIZZO, LAMEZIA TERME CENTRALE, 16
LAMEZIA TERME CENTRALE, AMANTEA, 16
AMANTEA, PAOLA, 17
PAOLA, PRAJA AJETA TORTORA, 29
PRAJA AJETA TORTORA, SAPRI, 10
SAPRI, PISCIOTTA PALINURO, 19
PISCIOTTA PALINURO, ASCEA, 4
ASCEA, SALERNO, 38
SALERNO, NAPOLI CENTRALE, 41
NAPOLI CENTRALE, AVERSA, 20
AVERSA, FORMIA-GAETA, 49
FORMIA-GAETA, LATINA, 61
LATINA, ROMA TIBURTINA, 43
ROMA TIBURTINA, ORVIETO, 75
ORVIETO, CHIUSI C.T., 23
CHIUSI C.T., TERONTOLA CORTONA, 18
TERONTOLA CORTONA, AREZZO, 22
AREZZO, FIRENZE RIFREDI, 38
FIRENZE RIFREDI, PRATO CENTRALE, 11
PRATO CENTRALE, BOLOGNA C.LE, 51
BOLOGNA C.LE, MODENA, 1370
MODENA, REGGIO EMILIA, 1353
REGGIO EMILIA, PARMA, 1356
PARMA, FIDENZA, 1351
FIDENZA, PIACENZA, 1361
PIACENZA, LODI, 1370
LODI, MILANO ROGOREDO, 1355
MILANO ROGOREDO, MILANO CENTRALE, 13
TRIESTE CENTRALE, MONFALCONE, 21
MONFALCONE, TRIESTE AIRPORT, 1407
TRIESTE AIRPORT, CERVIGNANO A.G., -31
CERVIGNANO A.G., LATISANA LIGNANO B., -25
LATISANA LIGNANO B., PORTOGRUARO CAORLE, 1408
PORTOGRUARO CAORLE, S. DONA` DI PIAVE, 1416
S. DONA` DI PIAVE, VENEZIA MESTRE, -18
VENEZIA MESTRE, PADOVA, -8
PADOVA, TERME EUGANEE-ABANO-MONTEGR., 10
TERME EUGANEE-ABANO-MONTEGR., ROVIGO, 20
ROVIGO, FERRARA, 1418
FERRARA, BOLOGNA C.LE, -9
BOLOGNA C.LE, PRATO CENTRALE, 54
PRATO CENTRALE, FIRENZE RIFREDI, 15
FIRENZE RIFREDI, AREZZO, 40
AREZZO, TERONTOLA CORTONA, 22
TERONTOLA CORTONA, CHIUSI C.T., 19
CHIUSI C.T., ORVIETO, 23
ORVIETO, ORTE, 29
ORTE, ROMA TERMINI, 4
SIRACUSA, AUGUSTA, 21
AUGUSTA, LENTINI, 24
LENTINI, CATANIA CENTRALE, 19
CATANIA CENTRALE, ACIREALE, 11
ACIREALE, GIARRE RIPOSTO, 7
GIARRE RIPOSTO, TAORMINA, 14
TAORMINA, MESSINA CENTRALE, 43
MESSINA CENTRALE, MESSINA MARITTIMA, 20
MESSINA MARITTIMA, VILLA S.GIOVANNI MARE, 45
VILLA S.GIOVANNI MARE, VILLA SAN GIOVANNI, 30
VILLA SAN GIOVANNI, PAOLA, 145
PAOLA, SALERNO, 170
NAPOLI CENTRALE, FORMIA-GAETA, 65
LATINA, ROMA TERMINI, 34
MESSINA CENTRALE, MILAZZO, 19
MILAZZO, BARCELLONA, 6
BARCELLONA, PATTI-SAN PIERO PATTI, 19
PATTI-SAN PIERO PATTI, CAPO D`ORLANDO-NASO, 20
CAPO D`ORLANDO-NASO, S.AGATA M., 12
S.AGATA M., SANTO STEFANO DI CAMASTRA, 19
SANTO STEFANO DI CAMASTRA, CEFALU`, 21
CEFALU`, TERMINI IMERESE, 22
TERMINI IMERESE, PALERMO CENTRALE, 32
MILANO CENTRALE, PIACENZA, 53
PIACENZA, FIDENZA, 22
FIDENZA, PARMA, 11
PARMA, REGGIO EMILIA, 15
REGGIO EMILIA, MODENA, 20
MODENA, BOLOGNA C.LE, 27
PRATO CENTRALE, FIRENZE CAMPO MARTE, 30
FIRENZE CAMPO MARTE, ROMA TIBURTINA, 181
ROMA TIBURTINA, SALERNO, 158
SALERNO, BATTIPAGLIA, 14
BATTIPAGLIA, AGROPOLI CASTELLABATE, 1409
AGROPOLI CASTELLABATE, VALLO DELLA LUC. CASTELNUOVO, 15
VALLO DELLA LUC. CASTELNUOVO, ASCEA, 9
ASCEA, PISCIOTTA PALINURO, 9
PISCIOTTA PALINURO, SAPRI, 30
SAPRI, MARATEA, 11
MARATEA, SCALEA S.DOMENICA TALAO, 14
SCALEA S.DOMENICA TALAO, PAOLA, 34
PAOLA, AMANTEA, 15
AMANTEA, LAMEZIA TERME CENTRALE, 19
LAMEZIA TERME CENTRALE, VIBO VALENZIA PIZZO, 16
VIBO VALENZIA PIZZO, ROSARNO, 17
ROSARNO, GIOIA TAURO, 8
GIOIA TAURO, VILLA SAN GIOVANNI, 21
VILLA SAN GIOVANNI, VILLA S.GIOVANNI MARE, 29
VILLA S.GIOVANNI MARE, MESSINA MARITTIMA, 60
MESSINA MARITTIMA, MESSINA CENTRALE, 20
MESSINA CENTRALE, TAORMINA, 57
TAORMINA, GIARRE RIPOSTO, 6
GIARRE RIPOSTO, ACIREALE, 1
ACIREALE, CATANIA CENTRALE, 1
CATANIA CENTRALE, LENTINI, 12
LENTINI, AUGUSTA, 13
AUGUSTA, SIRACUSA, 16
SANTO STEFANO DI CAMASTRA, POLLINA, 34
POLLINA, CEFALU`, 16
ROMA TERMINI, FIRENZE S.M.N., 160
FIRENZE S.M.N., BOLOGNA C.LE, 74
BOLOGNA C.LE, PADOVA, 83
PADOVA, TARVISIO BOSCOVERDE, 163
LECCE, BRINDISI, 14
BRINDISI, OSTUNI, 17
OSTUNI, FASANO, 7
FASANO, MONOPOLI, 1350
MONOPOLI, POLIGNANO A MARE, 1345
POLIGNANO A MARE, BARI CENTRALE, 1378
BARI CENTRALE, MOLFETTA, 15
MOLFETTA, BISCEGLIE, 8
BISCEGLIE, TRANI, 8
TRANI, BARLETTA, 10
BARLETTA, FOGGIA, 42
FOGGIA, SAN SEVERO, 1353
SAN SEVERO, TERMOLI, 1377
TERMOLI, VASTO S.SALVO, 1351
VASTO S.SALVO, PESCARA, 1380
PESCARA, GIULIANOVA, 1370
GIULIANOVA, S.BENEDETTO DEL TRONTO, 1350
S.BENEDETTO DEL TRONTO, PORTO S. GIORGIO FERMO, 1352
PORTO S. GIORGIO FERMO, CIVITANOVA MARCHE, 1347
CIVITANOVA MARCHE, ANCONA, 1361
ANCONA, SENIGALLIA, 1356
SENIGALLIA, FANO, 1350
FANO, PESARO, 1345
PESARO, RICCIONE, 1358
RICCIONE, RIMINI, 1346
RIMINI, CESENA, 1357
CESENA, FORLI`, 1349
FORLI`, FAENZA, 1347
FAENZA, BOLOGNA C.LE, 1375
MILANO ROGOREDO, MILANO PORTA GARIBALDI, 1361
MILANO CENTRALE, PAVIA, 28
PAVIA, VOGHERA, 17
VOGHERA, GENOVA P.PRINCIPE, 53
GENOVA P.PRINCIPE, GENOVA BRIGNOLE, 9
GENOVA BRIGNOLE, S. MARGHERITA LIGURE PORTOFINO, 24
S. MARGHERITA LIGURE PORTOFINO, RAPALLO, 5
RAPALLO, CHIAVARI, 9
CHIAVARI, LAVAGNA, 5
LAVAGNA, SESTRI LEVANTE, 7
SESTRI LEVANTE, LEVANTO, 20
LEVANTO, MONTEROSSO, 6
MONTEROSSO, LA SPEZIA CENTRALE, 27
LATINA, ROMA OSTIENSE, 41
ROMA OSTIENSE, ROMA S.PIETRO, 8
ROMA S.PIETRO, CIVITAVECCHIA, 33
CIVITAVECCHIA, ORBETELLO, 40
ORBETELLO, GROSSETO, 19
GROSSETO, FOLLONICA, 20
FOLLONICA, CAMPIGLIA MARITTIMA, 12
CAMPIGLIA MARITTIMA, CECINA, 32
CECINA, LIVORNO CENTRALE, 24
LIVORNO CENTRALE, PISA CENTRALE, 16
PISA CENTRALE, VIAREGGIO, 20
VIAREGGIO, MASSA CENTRO, 16
MASSA CENTRO, CARRARA AVENZA, 8
CARRARA AVENZA, SARZANA, 15
SARZANA, LA SPEZIA CENTRALE, 19
LA SPEZIA CENTRALE, MONTEROSSO, 27
MONTEROSSO, LEVANTO, 7
LEVANTO, SESTRI LEVANTE, 22
